"","TrialId","Prime","AOI1","AOI2","FirstFixation","FirstFixationTime","PrimeWord","PrimeNasal","PrimeVoiced","CompetitorWord","CompetitorNasal","CompetitorVoiced","PrimeTime"
"22",22,"bet","bent","bet",129,430,"bet",FALSE,FALSE,"bent",TRUE,FALSE,NA
"23",23,"lent_late","let","lent",181,603.333333333333,"lent",TRUE,FALSE,"let",FALSE,FALSE,"late"
"24",24,"bet","bet","bed",177,590,"bet",FALSE,FALSE,"bed",FALSE,TRUE,NA
"25",25,"send_early","send","sent",201,670,"send",TRUE,TRUE,"sent",TRUE,FALSE,"early"
"26",26,"bed","bet","bed",113,376.666666666667,"bed",FALSE,TRUE,"bet",FALSE,FALSE,NA
"27",27,"sent_early","send","sent",197,656.666666666667,"sent",TRUE,FALSE,"send",TRUE,TRUE,"early"
"28",28,"let","led","let",164,546.666666666667,"let",FALSE,FALSE,"led",FALSE,TRUE,NA
"29",29,"said","said","send",145,483.333333333333,"said",FALSE,TRUE,"send",TRUE,TRUE,NA
"30",30,"bet","bed","bet",186,620,"bet",FALSE,FALSE,"bed",FALSE,TRUE,NA
"31",31,"lend_early","led","lend",118,393.333333333333,"lend",TRUE,TRUE,"led",FALSE,TRUE,"early"
"32",32,"send_late","sent","send",110,366.666666666667,"send",TRUE,TRUE,"sent",TRUE,FALSE,"late"
"33",33,"bend_late","bed","bend",225,750,"bend",TRUE,TRUE,"bed",FALSE,TRUE,"late"
"34",34,"lent_early","lent","lend",139,463.333333333333,"lent",TRUE,FALSE,"lend",TRUE,TRUE,"early"
"35",35,"lent_late","lent","lend",174,580,"lent",TRUE,FALSE,"lend",TRUE,TRUE,"late"
"36",36,"let","let","lent",152,506.666666666667,"let",FALSE,FALSE,"lent",TRUE,FALSE,NA
"37",37,"send_early","sent","send",178,593.333333333333,"send",TRUE,TRUE,"sent",TRUE,FALSE,"early"
"38",38,"bent_late","bent","bend",176,586.666666666667,"bent",TRUE,FALSE,"bend",TRUE,TRUE,"late"
"39",39,"set","sent","set",194,646.666666666667,"set",FALSE,FALSE,"sent",TRUE,FALSE,NA
"40",40,"set","set","sent",197,656.666666666667,"set",FALSE,FALSE,"sent",TRUE,FALSE,NA
"41",41,"lend_late","led","lend",192,640,"lend",TRUE,TRUE,"led",FALSE,TRUE,"late"
"42",42,"send_early","said","send",254,846.666666666667,"send",TRUE,TRUE,"said",FALSE,TRUE,"early"
"43",43,"send_late","send","sent",170,566.666666666667,"send",TRUE,TRUE,"sent",TRUE,FALSE,"late"
"44",44,"bend_early","bend","bent",185,616.666666666667,"bend",TRUE,TRUE,"bent",TRUE,FALSE,"early"
"45",45,"lent_late","lent","let",236,786.666666666667,"lent",TRUE,FALSE,"let",FALSE,FALSE,"late"
"46",46,"lend_late","lend","lent",185,616.666666666667,"lend",TRUE,TRUE,"lent",TRUE,FALSE,"late"
"47",47,"sent_late","sent","set",266,886.666666666667,"sent",TRUE,FALSE,"set",FALSE,FALSE,"late"
"48",48,"bent_late","bet","bent",153,510,"bent",TRUE,FALSE,"bet",FALSE,FALSE,"late"
"49",49,"said","send","said",187,623.333333333333,"said",FALSE,TRUE,"send",TRUE,TRUE,NA
"50",50,"led","let","led",174,580,"led",FALSE,TRUE,"let",FALSE,FALSE,NA
"51",51,"lend_early","lend","led",218,726.666666666667,"lend",TRUE,TRUE,"led",FALSE,TRUE,"early"
"52",52,"bend_late","bend","bed",156,520,"bend",TRUE,TRUE,"bed",FALSE,TRUE,"late"
"53",53,"lent_early","let","lent",98,326.666666666667,"lent",TRUE,FALSE,"let",FALSE,FALSE,"early"
"54",54,"lend_late","lent","lend",202,673.333333333333,"lend",TRUE,TRUE,"lent",TRUE,FALSE,"late"
"55",55,"set","said","set",203,676.666666666667,"set",FALSE,FALSE,"said",FALSE,TRUE,NA
"56",56,"led","led","lend",232,773.333333333333,"led",FALSE,TRUE,"lend",TRUE,TRUE,NA
"57",57,"led","lend","led",163,543.333333333333,"led",FALSE,TRUE,"lend",TRUE,TRUE,NA
"58",58,"bed","bed","bend",222,740,"bed",FALSE,TRUE,"bend",TRUE,TRUE,NA
"59",59,"let","let","led",193,643.333333333333,"let",FALSE,FALSE,"led",FALSE,TRUE,NA
"60",60,"bend_early","bent","bend",182,606.666666666667,"bend",TRUE,TRUE,"bent",TRUE,FALSE,"early"
"61",61,"lent_early","lent","let",149,496.666666666667,"lent",TRUE,FALSE,"let",FALSE,FALSE,"early"
"62",62,"bend_late","bent","bend",134,446.666666666667,"bend",TRUE,TRUE,"bent",TRUE,FALSE,"late"
"63",63,"sent_late","send","sent",184,613.333333333333,"sent",TRUE,FALSE,"send",TRUE,TRUE,"late"
"64",64,"lent_early","lend","lent",179,596.666666666667,"lent",TRUE,FALSE,"lend",TRUE,TRUE,"early"
"65",65,"let","lent","let",166,553.333333333333,"let",FALSE,FALSE,"lent",TRUE,FALSE,NA
"66",66,"lend_early","lent","lend",115,383.333333333333,"lend",TRUE,TRUE,"lent",TRUE,FALSE,"early"
"67",67,"bend_early","bed","bend",140,466.666666666667,"bend",TRUE,TRUE,"bed",FALSE,TRUE,"early"
"68",68,"said","said","set",167,556.666666666667,"said",FALSE,TRUE,"set",FALSE,FALSE,NA
"69",69,"led","led","let",187,623.333333333333,"led",FALSE,TRUE,"let",FALSE,FALSE,NA
"70",70,"bend_late","bend","bent",183,610,"bend",TRUE,TRUE,"bent",TRUE,FALSE,"late"
"71",71,"bed","bed","bet",168,560,"bed",FALSE,TRUE,"bet",FALSE,FALSE,NA
"72",72,"lend_late","lend","led",226,753.333333333333,"lend",TRUE,TRUE,"led",FALSE,TRUE,"late"
"73",73,"bet","bent","bet",141,470,"bet",FALSE,FALSE,"bent",TRUE,FALSE,NA
