,X,TrialId,Prime,AOI1,AOI2,FirstFixation,FirstFixationTime,PrimeWord,PrimeNasal,PrimeVoiced,CompetitorWord,CompetitorNasal,CompetitorVoiced,PrimeTime,CompetitorNas,Subject
188,188,191,sent_late,set,sent,220,733.3333333,sent,TRUE,FALSE,set,FALSE,FALSE,late,Oral,1
189,189,192,lend_late,lend,lent,221,736.6666667,lend,TRUE,TRUE,lent,TRUE,FALSE,late,Nasal,1
190,190,193,set,said,set,189,630,set,FALSE,FALSE,said,FALSE,TRUE,NA,Oral,1
191,191,194,let,led,let,169,563.3333333,let,FALSE,FALSE,led,FALSE,TRUE,NA,Oral,1
192,192,195,sent_early,send,sent,193,643.3333333,sent,TRUE,FALSE,send,TRUE,TRUE,early,Nasal,1
193,193,197,lend_early,lend,lent,244,813.3333333,lend,TRUE,TRUE,lent,TRUE,FALSE,early,Nasal,1
194,194,198,bent_late,bet,bent,124,413.3333333,bent,TRUE,FALSE,bet,FALSE,FALSE,late,Oral,1
195,195,199,bent_late,bent,bend,195,650,bent,TRUE,FALSE,bend,TRUE,TRUE,late,Nasal,1
196,196,200,led,led,lend,218,726.6666667,led,FALSE,TRUE,lend,TRUE,TRUE,NA,Nasal,1
197,197,201,lent_early,lend,lent,186,620,lent,TRUE,FALSE,lend,TRUE,TRUE,early,Nasal,1
198,198,202,led,lend,led,168,560,led,FALSE,TRUE,lend,TRUE,TRUE,NA,Nasal,1
199,199,203,bent_early,bet,bent,139,463.3333333,bent,TRUE,FALSE,bet,FALSE,FALSE,early,Oral,1
200,200,204,lent_late,let,lent,186,620,lent,TRUE,FALSE,let,FALSE,FALSE,late,Oral,1
201,201,205,lend_early,led,lend,155,516.6666667,lend,TRUE,TRUE,led,FALSE,TRUE,early,Oral,1
202,202,206,let,lent,let,160,533.3333333,let,FALSE,FALSE,lent,TRUE,FALSE,NA,Nasal,1
203,203,207,send_late,said,send,226,753.3333333,send,TRUE,TRUE,said,FALSE,TRUE,late,Oral,1
204,204,208,lent_early,lent,lend,187,623.3333333,lent,TRUE,FALSE,lend,TRUE,TRUE,early,Nasal,1
205,205,210,led,let,led,205,683.3333333,led,FALSE,TRUE,let,FALSE,FALSE,NA,Oral,1
206,206,211,sent_late,sent,send,217,723.3333333,sent,TRUE,FALSE,send,TRUE,TRUE,late,Nasal,1
207,207,212,lend_early,lend,led,158,526.6666667,lend,TRUE,TRUE,led,FALSE,TRUE,early,Oral,1
208,208,213,said,said,set,175,583.3333333,said,FALSE,TRUE,set,FALSE,FALSE,NA,Oral,1
209,209,214,lend_early,lent,lend,146,486.6666667,lend,TRUE,TRUE,lent,TRUE,FALSE,early,Nasal,1
210,210,215,send_late,send,said,123,410,send,TRUE,TRUE,said,FALSE,TRUE,late,Oral,1
211,211,216,bet,bent,bet,137,456.6666667,bet,FALSE,FALSE,bent,TRUE,FALSE,NA,Nasal,1
212,1,1,sent_late,sent,send,253,843.3333333,sent,TRUE,FALSE,send,TRUE,TRUE,late,Nasal,2
213,2,2,lend_early,lend,lent,211,703.3333333,lend,TRUE,TRUE,lent,TRUE,FALSE,early,Nasal,2
214,3,3,sent_early,sent,set,194,646.6666667,sent,TRUE,FALSE,set,FALSE,FALSE,early,Oral,2
215,4,4,bent_early,bent,bend,143,476.6666667,bent,TRUE,FALSE,bend,TRUE,TRUE,early,Nasal,2
216,5,5,send_late,send,said,214,713.3333333,send,TRUE,TRUE,said,FALSE,TRUE,late,Oral,2
217,6,6,sent_early,set,sent,206,686.6666667,sent,TRUE,FALSE,set,FALSE,FALSE,early,Oral,2
218,7,7,set,set,said,267,890,set,FALSE,FALSE,said,FALSE,TRUE,NA,Oral,2
219,8,8,bent_early,bent,bet,154,513.3333333,bent,TRUE,FALSE,bet,FALSE,FALSE,early,Oral,2
220,9,9,bent_late,bent,bet,185,616.6666667,bent,TRUE,FALSE,bet,FALSE,FALSE,late,Oral,2
221,10,10,bed,bend,bed,156,520,bed,FALSE,TRUE,bend,TRUE,TRUE,NA,Nasal,2
222,11,11,bent_late,bend,bent,191,636.6666667,bent,TRUE,FALSE,bend,TRUE,TRUE,late,Nasal,2
223,12,12,bent_early,bet,bent,167,556.6666667,bent,TRUE,FALSE,bet,FALSE,FALSE,early,Oral,2
224,13,13,bend_early,bend,bed,193,643.3333333,bend,TRUE,TRUE,bed,FALSE,TRUE,early,Oral,2
225,14,14,bet,bet,bent,206,686.6666667,bet,FALSE,FALSE,bent,TRUE,FALSE,NA,Nasal,2
226,15,15,sent_late,set,sent,178,593.3333333,sent,TRUE,FALSE,set,FALSE,FALSE,late,Oral,2
227,16,16,bent_early,bend,bent,101,336.6666667,bent,TRUE,FALSE,bend,TRUE,TRUE,early,Nasal,2
228,17,17,send_early,send,said,183,610,send,TRUE,TRUE,said,FALSE,TRUE,early,Oral,2
229,18,18,lent_late,lend,lent,153,510,lent,TRUE,FALSE,lend,TRUE,TRUE,late,Nasal,2
230,19,19,said,set,said,187,623.3333333,said,FALSE,TRUE,set,FALSE,FALSE,NA,Oral,2
231,20,20,send_late,said,send,167,556.6666667,send,TRUE,TRUE,said,FALSE,TRUE,late,Oral,2
232,21,21,sent_early,sent,send,191,636.6666667,sent,TRUE,FALSE,send,TRUE,TRUE,early,Nasal,2
233,22,22,bet,bent,bet,129,430,bet,FALSE,FALSE,bent,TRUE,FALSE,NA,Nasal,2
234,23,23,lent_late,let,lent,181,603.3333333,lent,TRUE,FALSE,let,FALSE,FALSE,late,Oral,2
235,24,24,bet,bet,bed,177,590,bet,FALSE,FALSE,bed,FALSE,TRUE,NA,Oral,2
236,25,25,send_early,send,sent,201,670,send,TRUE,TRUE,sent,TRUE,FALSE,early,Nasal,2
237,26,26,bed,bet,bed,113,376.6666667,bed,FALSE,TRUE,bet,FALSE,FALSE,NA,Oral,2
238,27,27,sent_early,send,sent,197,656.6666667,sent,TRUE,FALSE,send,TRUE,TRUE,early,Nasal,2
239,28,28,let,led,let,164,546.6666667,let,FALSE,FALSE,led,FALSE,TRUE,NA,Oral,2
240,29,29,said,said,send,145,483.3333333,said,FALSE,TRUE,send,TRUE,TRUE,NA,Nasal,2
241,30,30,bet,bed,bet,186,620,bet,FALSE,FALSE,bed,FALSE,TRUE,NA,Oral,2
